rankx   flowid   timex
9369339   2   13468900
9367959   2   13480900
9366579   2   13492900
9365199   2   13504900
9363819   2   13516900
9362439   2   13528900
9361059   2   13540900
9359679   2   13552900
9358299   2   13564900
9356919   2   13576900
9355539   2   13588900
9354159   2   13600900
9352779   2   13612900
9351399   2   13624900
49585999   1   13636900
49584619   1   13648900
49583239   1   13660900
9350019   2   13672900
9348639   2   13684900
9347259   2   13696900
49581859   1   13708900
99499059   0   13720900
49580479   1   13732900
99497679   0   13744900
49579099   1   13756900
9345879   2   13768900
49577719   1   13780900
99496299   0   13792900
49576339   1   13804900
9344499   2   13816900
49574959   1   13828900
99494919   0   13840900
49573579   1   13852900
49572199   1   13864900
49570819   1   13876900
9343119   2   13888900
49569439   1   13900900
49568059   1   13912900
99493539   0   13924900
49566679   1   13936900
9341739   2   13948900
49565299   1   13960900
99492159   0   13972900
49563919   1   13984900
9340359   2   13996900
49562539   1   14008900
99490779   0   14020900
49561159   1   14032900
9338979   2   14044900
49559779   1   14056900
99489399   0   14068900
49558399   1   14080900
9337599   2   14092900
99488019   0   14104900
9336219   2   14116900
99486639   0   14128900
99485259   0   14140900
99483879   0   14152900
9334839   2   14164900
9333459   2   14176900
9332079   2   14188900
9330699   2   14200900
9329319   2   14212900
9327939   2   14224900
9326559   2   14236900
9325179   2   14248900
9323799   2   14260900
99482499   0   14272900
99481119   0   14284900
99479739   0   14296900
9322419   2   14308900
99478359   0   14320900
9321039   2   14332900
99476979   0   14344900
9319659   2   14356900
99475599   0   14368900
9318279   2   14380900
99474219   0   14392900
9316899   2   14404900
99472839   0   14416900
9315519   2   14428900
99471459   0   14440900
9314139   2   14452900
99470079   0   14464900
99468699   0   14476900
9312759   2   14488900
9311379   2   14500900
9309999   2   14512900
9308619   2   14524900
9307239   2   14536900
9305859   2   14548900
9304479   2   14560900
9303099   2   14572900
9301719   2   14584900
9300339   2   14596900
9298959   2   14608900
9297579   2   14620900
9296199   2   14632900
9294819   2   14644900
9293439   2   14656900
49557019   1   14668900
49555639   1   14680900
49554259   1   14692900
9292059   2   14704900
9290679   2   14716900
9289299   2   14728900
49552879   1   14740900
99467319   0   14752900
49551499   1   14764900
99465939   0   14776900
49550119   1   14788900
9287919   2   14800900
9286539   2   14812900
49548739   1   14824900
99464559   0   14836900
49547359   1   14848900
9285159   2   14860900
49545979   1   14872900
99463179   0   14884900
49544599   1   14896900
49543219   1   14908900
49541839   1   14920900
9283779   2   14932900
49540459   1   14944900
49539079   1   14956900
49537699   1   14968900
99461799   0   14980900
49536319   1   14992900
9282399   2   15004900
49534939   1   15016900
99460419   0   15028900
49533559   1   15040900
9281019   2   15052900
49532179   1   15064900
99459039   0   15076900
49530799   1   15088900
9279639   2   15100900
49529419   1   15112900
99457659   0   15124900
49528039   1   15136900
9278259   2   15148900
99456279   0   15160900
9276879   2   15172900
99454899   0   15184900
99453519   0   15196900
99452139   0   15208900
9275499   2   15220900
9274119   2   15232900
9272739   2   15244900
9271359   2   15256900
